DATE	TIME	WS	PK	RF	SR	BP	AT	RH	WD
dic-28	9:00	2.19	5.12	0.00	567.56	561.66	17.15	46.18	73.40
dic-28	9:10	2.64	5.38	0.00	552.44	561.61	16.81	48.15	45.38
dic-28	9:20	1.69	4.38	0.00	538.62	561.51	16.88	47.65	5.95
dic-28	9:30	2.58	6.12	0.00	601.62	561.51	16.95	46.97	8.76
dic-28	9:40	3.12	9.06	0.00	600.81	561.42	17.62	43.97	110.47
dic-28	9:50	2.08	5.56	0.00	421.75	561.51	17.58	44.41	90.66
dic-28	10:00	2.10	4.38	0.00	416.12	561.57	17.72	44.42	89.16
dic-28	10:10	2.50	5.56	0.00	540.25	561.61	17.19	46.61	44.01
dic-28	10:20	1.95	4.56	0.00	249.25	561.57	16.95	46.91	58.95
dic-28	10:30	1.67	4.56	0.00	290.62	561.66	17.14	45.54	63.03
dic-28	10:40	2.60	5.00	0.00	385.44	561.61	17.22	44.64	75.30
dic-28	10:50	2.47	5.50	0.00	573.38	561.51	17.68	42.85	100.89
dic-28	11:00	3.28	6.50	0.00	270.50	561.28	18.47	40.77	135.74
dic-28	11:10	2.20	4.56	0.00	225.31	561.33	18.02	42.95	108.79
dic-28	11:20	1.43	3.81	0.00	264.44	561.38	18.23	42.51	124.93
dic-28	11:30	1.46	4.94	0.00	585.50	561.28	18.89	42.38	87.69
dic-28	11:40	2.67	6.50	0.00	450.12	561.05	18.87	42.48	177.68
dic-28	11:50	2.57	6.62	0.00	330.69	560.96	17.96	44.70	66.89
dic-28	12:00	2.42	5.50	0.00	301.38	560.91	18.38	42.64	102.95
dic-28	12:10	2.07	5.00	0.00	289.44	560.91	18.59	42.83	86.56
dic-28	12:20	1.64	3.56	0.00	319.06	560.82	18.82	42.17	72.75
dic-28	12:30	2.10	4.56	0.00	354.62	560.72	18.82	42.84	88.85
dic-28	12:40	2.02	4.69	0.00	431.44	560.63	19.03	42.45	129.95
dic-28	12:50	2.34	4.69	0.00	265.94	560.53	18.94	42.47	59.64
dic-28	13:00	2.15	5.25	0.00	185.88	560.49	18.43	43.38	108.01
dic-28	13:10	1.73	6.62	0.00	328.69	560.49	18.54	43.39	44.99
dic-28	13:20	2.07	5.25	0.00	408.88	560.39	18.70	42.94	115.44
dic-28	13:30	2.26	5.38	0.00	479.69	560.3	18.92	42.04	108.28
dic-28	13:40	2.45	5.81	0.00	315.12	560.11	19.65	40.51	144.77
dic-28	13:50	3.02	6.12	0.00	751.44	560.07	19.52	41.40	156.12
dic-28	14:00	3.36	6.69	0.00	472.69	559.83	19.72	40.17	159.18
dic-28	14:10	2.62	6.25	0.00	597.25	559.83	20.12	37.52	112.35
dic-28	14:20	1.71	5.50	0.00	712.19	559.69	20.67	36.18	95.10
dic-28	14:30	1.45	3.12	0.00	531.88	559.5	21.52	33.42	81.72
dic-28	14:40	1.58	5.81	0.00	212.88	559.46	21.16	35.30	76.57
dic-28	14:50	2.41	4.69	0.00	183.88	559.59	19.86	39.28	94.00
dic-28	15:00	2.33	4.50	0.00	181.19	559.78	18.97	42.45	101.69
dic-28	15:10	2.91	6.62	0.00	166.88	560.01	18.47	46.32	132.45
dic-28	15:20	2.51	7.25	0.00	163.75	560.07	17.86	49.06	112.84
dic-28	15:30	1.62	3.69	0.00	189.00	559.92	17.66	48.86	61.09
dic-28	15:40	1.75	4.81	0.00	268.31	559.83	18.30	46.60	117.82
dic-28	15:50	2.47	5.56	0.00	404.38	559.74	18.99	44.70	95.65
dic-28	16:00	2.33	5.81	0.00	333.56	559.74	19.79	42.62	94.81
dic-28	16:10	3.01	6.62	0.00	197.38	559.92	19.16	44.46	90.21
dic-28	16:20	2.41	5.38	0.00	153.00	559.97	17.96	47.81	83.47
dic-28	16:30	2.56	5.38	0.00	183.75	559.92	18.21	45.78	104.35
dic-28	16:40	3.06	6.06	0.00	181.50	559.92	18.20	45.62	129.62
dic-28	16:50	2.24	4.69	0.00	152.56	559.97	18.35	44.74	108.78
dic-28	17:00	2.80	6.06	0.00	105.50	559.92	18.21	44.63	107.04
dic-28	17:10	2.78	5.50	0.00	64.56	559.97	18.03	45.04	104.53
dic-28	17:20	2.59	5.12	0.00	42.25	560.01	17.80	45.85	107.43
dic-28	17:30	1.76	4.12	0.00	19.75	560.11	17.71	47.43	116.28
dic-28	17:40	2.50	5.69	0.00	9.12	560.21	17.29	48.89	131.59
dic-28	17:50	1.90	4.12	0.00	2.69	560.3	16.93	49.93	108.03
dic-28	18:00	1.80	5.00	0.00	0.00	560.44	16.72	49.97	97.25
dic-28	18:10	1.65	4.38	0.00	0.00	560.63	16.60	50.45	98.54
dic-28	18:20	2.31	4.50	0.00	0.00	560.82	16.50	51.62	105.59
dic-28	18:30	2.20	5.94	0.00	0.00	560.82	16.27	53.05	75.22
dic-28	18:40	2.78	5.69	0.00	0.00	561	16.02	53.88	93.25
dic-28	18:50	2.40	5.50	0.00	0.00	561.19	15.96	52.14	96.88
dic-28	19:00	2.14	5.50	0.00	0.00	561.42	15.84	52.62	93.50
dic-28	19:10	3.26	7.94	0.00	0.00	561.47	15.63	52.72	125.91
dic-28	19:20	2.86	7.06	0.00	0.00	561.57	15.37	54.93	110.44
dic-28	19:30	3.33	6.69	0.00	0.00	561.66	15.13	54.45	108.26
dic-28	19:40	3.65	6.81	0.00	0.00	561.61	15.10	52.83	122.56
dic-28	19:50	3.42	7.50	0.00	0.00	561.75	14.94	53.24	114.81
dic-28	20:00	3.29	6.50	0.00	0.00	561.84	14.72	53.32	117.14
dic-28	20:10	2.64	5.00	0.00	0.00	561.99	14.70	51.60	94.10
dic-28	20:20	2.60	6.81	0.00	0.00	562.26	14.71	50.82	30.51
dic-28	20:30	2.21	4.12	0.00	0.00	562.41	14.62	51.12	338.06
dic-28	20:40	1.08	2.44	0.00	0.00	562.5	14.53	50.54	60.88
dic-28	20:50	1.62	3.25	0.00	0.00	562.59	14.42	50.35	349.38
dic-28	21:00	0.89	1.88	0.00	0.00	562.69	14.38	50.30	355.84
dic-28	21:10	1.39	2.69	0.00	0.00	562.83	14.29	52.09	320.06
dic-28	21:20	1.45	2.88	0.00	0.00	562.92	14.27	52.86	325.19
dic-28	21:30	1.55	2.69	0.00	0.00	563.07	14.09	53.55	0.16
dic-28	21:40	1.56	3.69	0.00	0.00	563.11	13.99	53.49	28.61
dic-28	21:50	1.78	3.25	0.00	0.00	563.21	13.89	53.35	32.00
dic-28	22:00	1.42	3.94	0.00	0.00	563.25	13.74	54.28	30.60
dic-28	22:10	1.25	2.12	0.00	0.00	563.21	13.55	53.37	57.16
dic-28	22:20	1.28	2.69	0.00	0.00	563.16	13.12	54.36	20.95
dic-28	22:30	0.87	1.81	0.00	0.00	563.16	12.88	55.24	38.38
dic-28	22:40	1.16	2.56	0.00	0.00	563.21	12.78	55.38	26.41
dic-28	22:50	1.18	2.25	0.00	0.00	563.21	12.68	55.60	50.08
dic-28	23:00	0.84	1.56	0.00	0.00	563.16	12.71	55.76	79.40
dic-28	23:10	0.79	1.88	0.00	0.00	563.16	12.62	56.31	96.56
dic-28	23:20	0.86	1.56	0.00	0.00	563.16	12.39	56.34	110.75
dic-28	23:30	0.69	1.69	0.00	0.00	563.25	12.20	54.32	96.71
dic-28	23:40	0.59	1.31	0.00	0.00	563.25	12.10	53.52	94.84
dic-28	23:50	0.27	0.81	0.00	0.00	563.25	11.97	55.87	94.97
dic-29	0:00	0.25	0.69	0.00	0.00	563.3	11.62	56.98	94.97
dic-29	0:10	0.33	1.25	0.00	0.00	563.3	11.57	55.56	95.18
dic-29	0:20	0.34	0.88	0.00	0.00	563.34	11.56	52.38	88.76
dic-29	0:30	0.70	1.31	0.00	0.00	563.34	11.57	52.37	54.55
dic-29	0:40	0.54	1.44	0.00	0.00	563.3	11.79	51.43	146.38
dic-29	0:50	0.36	1.25	0.00	0.00	563.25	11.73	52.34	146.44
dic-29	1:00	0.67	1.44	0.00	0.00	563.16	11.68	51.92	142.32
dic-29	1:10	0.51	1.31	0.00	0.00	563.01	11.78	51.13	143.32
dic-29	1:20	0.96	1.69	0.00	0.00	563.01	11.84	49.93	143.21
dic-29	1:30	0.64	1.31	0.00	0.00	562.97	11.77	48.54	114.72
dic-29	1:40	0.50	1.12	0.00	0.00	562.88	11.67	48.08	235.95
dic-29	1:50	0.34	1.00	0.00	0.00	562.88	11.32	49.82	251.96
dic-29	2:00	0.76	1.25	0.00	0.00	562.92	11.00	55.21	310.54
dic-29	2:10	0.51	1.44	0.00	0.00	562.92	10.96	56.48	315.52
dic-29	2:20	1.77	2.44	0.00	0.00	562.92	10.73	59.50	345.11
dic-29	2:30	0.59	1.00	0.00	0.00	562.88	10.48	62.83	339.79
dic-29	2:40	0.37	1.00	0.00	0.00	562.92	10.35	62.25	339.56
dic-29	2:50	0.65	1.31	0.00	0.00	562.92	10.35	66.19	292.40
dic-29	3:00	0.24	0.81	0.00	0.00	562.88	10.01	72.93	259.33
dic-29	3:10	0.71	1.25	0.00	0.00	562.88	9.62	73.58	269.02
dic-29	3:20	0.70	1.44	0.00	0.00	562.97	9.59	67.11	331.09
dic-29	3:30	0.37	0.88	0.00	0.00	562.97	9.69	64.20	329.25
dic-29	3:40	0.44	1.00	0.00	0.00	562.92	10.03	59.87	356.33
dic-29	3:50	0.29	1.31	0.00	0.00	562.92	9.92	60.29	65.34
dic-29	4:00	0.67	1.25	0.00	0.00	562.97	9.77	60.62	357.88
dic-29	4:10	0.51	1.12	0.00	0.00	562.92	9.75	61.13	356.79
dic-29	4:20	0.48	1.00	0.00	0.00	562.92	9.91	59.61	92.60
dic-29	4:30	0.70	1.81	0.00	0.00	562.92	10.13	58.71	68.66
dic-29	4:40	0.92	1.69	0.00	0.00	562.97	10.52	55.05	63.90
dic-29	4:50	1.62	2.69	0.00	0.00	563.01	10.81	54.49	16.05
dic-29	5:00	1.48	2.88	0.00	0.00	563.01	10.45	56.39	30.94
dic-29	5:10	0.85	1.88	0.00	0.00	563.07	10.57	53.60	38.10
dic-29	5:20	1.26	2.56	0.00	0.00	563.11	10.35	60.25	332.06
dic-29	5:30	1.78	3.00	0.00	0.00	563.25	9.25	71.04	327.41
dic-29	5:40	1.75	3.25	0.00	0.00	563.3	8.91	71.66	353.17
dic-29	5:50	0.87	1.69	0.00	0.00	563.44	9.27	67.05	10.77
dic-29	6:00	1.02	2.56	0.00	0.00	563.53	9.70	61.59	40.08
dic-29	6:10	0.90	1.88	0.00	0.31	563.63	10.10	55.70	87.56
dic-29	6:20	1.23	2.69	0.00	2.75	563.72	10.53	51.82	129.77
dic-29	6:30	1.23	2.81	0.00	5.12	563.86	9.81	66.06	249.06
dic-29	6:40	0.94	1.44	0.00	6.94	563.91	9.05	70.44	266.52
dic-29	6:50	0.73	1.56	0.00	8.81	564	8.79	71.79	326.58
dic-29	7:00	0.57	1.25	0.00	98.69	564.05	9.23	69.89	354.55
dic-29	7:10	1.45	2.00	0.00	146.81	563.82	11.01	61.60	340.73
dic-29	7:20	0.90	1.81	0.00	177.56	563.53	12.24	56.07	323.34
dic-29	7:30	0.89	1.69	0.00	206.62	563.25	12.77	53.85	355.39
dic-29	7:40	0.68	1.56	0.00	235.06	563.11	13.44	50.47	353.83
dic-29	7:50	0.63	1.88	0.00	263.12	562.88	14.78	46.47	27.59
dic-29	8:00	0.45	1.12	0.00	287.44	562.69	15.28	44.58	210.00
dic-29	8:10	0.93	1.69	0.00	323.12	562.55	15.46	44.87	316.92
dic-29	8:20	0.83	2.12	0.00	350.31	562.46	15.25	46.37	292.05
dic-29	8:30	1.30	3.25	0.00	383.06	562.32	15.64	45.15	264.29
dic-29	8:40	1.90	3.25	0.00	408.56	562.32	15.24	47.62	339.88
dic-29	8:50	1.71	3.44	0.00	442.00	562.32	15.43	46.45	351.66
dic-29	9:00	2.25	4.38	0.00	487.81	562.26	16.35	43.08	358.23
dic-29	9:10	3.39	6.50	0.00	511.25	562.13	16.48	45.05	359.38
dic-29	9:20	2.22	3.94	0.00	537.56	562.08	16.08	46.14	352.69
dic-29	9:30	2.24	5.25	0.00	572.56	561.99	16.86	38.86	30.08
dic-29	9:40	2.10	4.69	0.00	594.81	561.94	17.50	39.08	9.91
dic-29	9:50	2.16	5.25	0.00	621.31	561.8	17.97	35.75	138.19
